review_task_id,related_type,related_id,deal_id,source_id,restaurant_id,source_capture_id,direct_confirmation_id,report_source,opened_at,opened_by,assigned_reviewer,review_reason,risk_flags,priority,status,decision,decision_reason,decided_at,decided_by,next_action,next_action_due,public_copy_approval_status,food_alcohol_copy_check,next_check_due_required,expires_on_required,audit_event_id,resolution_notes
rt-cb-fentonis-lunch-special,deal_candidate,cand-cb-fentonis-lunch-special,deal-cb-fentonis-lunch-special,src-cb-fentonis-daily-specials,fentonis-pizza,cap-cb-fentonis-daily-specials-2026-06-03,,user_provided_gpt_table,2026-06-03,user,codex_research_review,official_source_captured,no durable evidence; no human approval; out of Wilmington prototype scope,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-cb-fentonis-lunch-special-published,Approved and promoted to public static prototype.
rt-cb-k38-cinco-de-monday,deal_candidate,cand-cb-k38-cinco-de-monday,deal-cb-k38-cinco-de-monday,src-cb-k38-location,k38-baja-grill,cap-cb-k38-location-2026-06-03,,user_provided_gpt_table,2026-06-03,user,codex_research_review,official_source_captured,end_time missing; no durable evidence; no human approval; out of Wilmington prototype scope,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-cb-k38-cinco-de-monday-published,Approved and promoted to public static prototype.
rt-cb-k38-quesadilla-wednesday,deal_candidate,cand-cb-k38-quesadilla-wednesday,deal-cb-k38-quesadilla-wednesday,src-cb-k38-location,k38-baja-grill,cap-cb-k38-location-2026-06-03,,user_provided_gpt_table,2026-06-03,user,codex_research_review,official_source_captured,end_time missing; no durable evidence; no human approval; out of Wilmington prototype scope,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-cb-k38-quesadilla-wednesday-published,Approved and promoted to public static prototype.
rt-cb-hoplite-sunday-brunch,deal_candidate,cand-cb-hoplite-sunday-brunch,deal-cb-hoplite-sunday-brunch,src-cb-hoplite-brunch,hoplite-irish-pub-restaurant,cap-cb-hoplite-brunch-2026-06-03,,user_provided_gpt_table,2026-06-03,user,codex_research_review,official_source_captured,no durable evidence; no human approval; out of Wilmington prototype scope,high,closed,approved,Official source capture supports public static prototype row.,2026-06-03T14:45:00-04:00,codex_research_review,recheck_source,2026-06-17,approved,food_only_approved,true,true,aud-cb-hoplite-sunday-brunch-published,Approved and promoted to public static prototype.
rt-cb-lazy-pirate-ayce-crab-legs,deal_candidate,cand-cb-lazy-pirate-ayce-crab-legs,,src-cb-lazy-pirate-home,lazy-pirate-sports-grill,,,user_provided_gpt_table,2026-06-03,user,,needs_price,price missing; exact deal day missing; no durable evidence; out of Wilmington prototype scope,normal,open,,,,,Get official price and day proof or keep out of deals.,,not_started,food_only_pending,true,true,,
rt-cb-shuckin-thursday-crab-legs,deal_candidate,cand-cb-shuckin-thursday-crab-legs,,src-cb-shuckin-event,shuckin-shack-oyster-bar,,,user_provided_gpt_table,2026-06-03,user,,needs_visual_capture,time window missing; location-specific visual confirmation missing; no human approval; out of Wilmington prototype scope,normal,open,,,,,Capture official event page or card and decide blank start/end time handling.,,not_started,food_only_pending,true,true,,
rt-cb-michaels-lunch-specials,deal_candidate,cand-cb-michaels-lunch-specials,,src-cb-michaels-menu,michaels-seafood-restaurant,,,user_provided_gpt_table,2026-06-03,user,,candidate_only,not enough to prove a current deal; out of Wilmington prototype scope,low,open,,,,,Keep as restaurant/source candidate unless dated official special is posted.,,not_started,food_only_pending,true,true,,
rt-cb-seaworthy-daily-happy-hour,deal_candidate,cand-cb-seaworthy-daily-happy-hour,,src-cb-seaworthy-home,seaworthy-kitchen-bar,,,user_provided_gpt_table,2026-06-03,user,,needs_social_capture,specific food items and prices missing; dated source missing; out of Wilmington prototype scope,normal,open,,,,,Find and capture dated official happy-hour food menu or keep out of deals.,,not_started,unknown,true,true,,
rt-cb-stoked-bacon-jam-gouda-burger,deal_candidate,cand-cb-stoked-bacon-jam-gouda-burger,,src-cb-stoked-toast,stoked-restaurant,,,user_provided_gpt_table,2026-06-03,user,,needs_social_capture,partner source is discovery only; official social capture missing; out of Wilmington prototype scope,normal,open,,,,,Capture official social post for exact item or get direct confirmation.,,not_started,food_only_pending,true,true,,
rt-cb-bella-vita-999-lunch-specials,deal_candidate,cand-cb-bella-vita-999-lunch-specials,,src-cb-bella-vita-home,bella-vita,,,user_provided_gpt_table,2026-06-03,user,,needs_social_capture,deal appears only in social snippets; current identity needs confirmation; out of Wilmington prototype scope,normal,open,,,,,Capture dated official social post showing special and current business identity.,,not_started,food_only_pending,true,true,,
rt-cb-nollies-taco-bundle-pricing,deal_candidate,cand-cb-nollies-taco-bundle-pricing,,src-cb-nollies-facebook,nollies-taco-joint,,,user_provided_gpt_table,2026-06-03,user,,needs_social_capture,Facebook snippet only; no capturable post; out of Wilmington prototype scope,normal,open,,,,,Capture dated official Facebook post or get direct confirmation.,,not_started,food_only_pending,true,true,,
