source_id,restaurant_id,source_type,source_tier,source_owner,source_url,collection_method,automation_allowed,permission_required,robots_or_terms_notes,wilmington_location_match,multi_location_risk,source_priority,source_status,requires_manual_check,login_required,volatile_source,expected_check_cadence_days,last_successful_check_at,last_failed_check_at,failure_reason,next_check_due,evidence_storage_path,notes
src-k38-porters-neck-primary,k38-porters-neck,menu,tier_1_official,K38 Porters Neck,https://k38bajagrill.com/locations/porters-neck/,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,active,true,false,false,30,2026-06-13,,,2026-07-13,,Fresh official capture on 2026-06-13 supports review-only Monday and Wednesday food-special candidates.
src-k38-forum-primary,k38-forum,menu,tier_1_official,K38 Forum,https://k38bajagrill.com/locations/forum/,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,active,true,false,false,30,2026-06-13,,,2026-07-13,,Fresh official capture on 2026-06-13 supports review-only Monday and Wednesday food-special candidates.
src-prost-biergarten-primary,prost-biergarten,website,tier_1_official,Prost Biergarten,https://prostilm.com/wilmington-downtown-prost-biergarten-happy-hours-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,3,2026-06-13,,,2026-06-16,,Fresh official capture on 2026-06-13 supports volatile date-windowed lunch candidates; food-only review required.
src-seabird-primary,seabird,website,tier_1_official,Seabird,https://www.seabirdnc.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,normal,active,true,false,false,30,2026-06-13,,,2026-07-13,,Official identity/menu/events checked on 2026-06-13; no exact food-special claim found.
src-mess-hall-primary,mess-hall,website,tier_1_official,Mess Hall,https://messhallilm.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,normal,active,true,false,false,30,2026-06-13,,,2026-07-13,,Official identity/menu checked on 2026-06-13; no exact food-special claim found.
src-banh-sai-primary,banh-sai,website,tier_1_official,Banh Sai,https://banhsai.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,normal,active,true,false,false,30,2026-06-13,,,2026-07-13,,Official identity and rotating-specials language checked on 2026-06-13; no exact recurring day/time/value claim found.
src-banh-sai-toast-ordering,banh-sai,ordering_page,tier_3_partner,Toast / Banh Sai,https://order.toasttab.com/online/banh-sai-cargo-district-2162-wrightsville-avenue,manual_web_review,true,false,Review platform terms before automated collection.,true,false,normal,active,true,false,true,14,2026-06-13,,,2026-06-27,,Official site links Toast ordering page; specials category observed but no recurring deal claim captured.
src-fire-bowl-homepage,fire-bowl,website,tier_1_official,Fire Bowl Asian Cuisine,http://www.firebowlwilmington.com/,manual_web_review,true,false,HTTP official site reachable; HTTPS certificate host mismatch requires manual reviewer care.,true,false,normal,active,true,false,false,30,2026-06-13,,,2026-07-13,,Official HTTP homepage confirms identity location service modes and hours.
src-fire-bowl-lunch-specials,fire-bowl,menu,tier_1_official,Fire Bowl Asian Cuisine,http://www.firebowlwilmington.com/catalog.aspx?cid=1,manual_web_review,true,false,HTTP official menu reachable; HTTPS certificate host mismatch requires manual reviewer care.,true,false,high,active,true,false,false,30,2026-06-13,,,2026-07-13,fixtures/prototype/evidence/verified-static/src-fire-bowl-lunch-specials.md,Official lunch specials page supports one review-only lunch-special candidate. Promoted to public static fixture on 2026-06-13.
src-melting-pot-wilmington-events,melting-pot-wilmington,website,tier_1_official,The Melting Pot - Wilmington,https://www.meltingpot.com/wilmington-nc/melting-pot-events.aspx,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,active,true,false,false,30,2026-06-13,,,2026-07-13,fixtures/prototype/evidence/verified-static/src-melting-pot-wilmington-events.md,Official Wilmington events page supports review-only Military Monday and Thursdate candidates. Promoted to public static fixture on 2026-06-13.
src-lucky-star-oleander-menu,lucky-star-oleander,ordering_page,tier_1_official,Lucky Star - Oleander Dr,https://www.luckystar-nc.com/menu,manual_web_review,true,false,Restaurant-branded ordering page; reviewer should confirm ownership before publication.,true,false,normal,active,false,false,true,14,2026-06-13,,,2026-06-27,,Restaurant-branded official website/ordering page accepted for static prototype publication in Phase 1U.
src-ming-wok-carolina-beach-rd-menu,ming-wok-carolina-beach-rd,ordering_page,tier_1_official,Ming Wok - Carolina Beach Rd,https://order.mingwoknc.com/menu,manual_web_review,true,false,Restaurant-branded ordering page; reviewer should confirm ownership before publication.,true,false,normal,active,false,false,true,14,2026-06-13,,,2026-06-27,,Restaurant-branded official website/ordering page accepted for static prototype publication in Phase 1U.
src-katys-grill-bar-weekly-specials,katys-grill-bar,website,tier_1_official,Katy's Grill & Sports Bar,https://katysbarandgrill.com/weekly-specials/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-13,,,2026-06-27,,Fresh official capture on 2026-06-13 supports review-only lunch and dinner food-special candidates; breakfast rows already exist in public fixtures.
src-coquina-fishbar-daily-lunch-specials,coquina-fishbar,menu,tier_1_official,Coquina Fishbar,https://coquinafishbar.com/daily-lunch-specials/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-13,,,2026-06-27,,Fresh official capture on 2026-06-13 supports one review-only $14 lunch-special candidate; reviewer should decide broad row versus day-specific rows.
src-south-front-tavern-primary,south-front-tavern,website,tier_1_official,South Front Tavern,https://www.southfronttavern.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-13,,,2026-06-27,,Fresh verification sweep capture on 2026-06-13; review-only candidates created where public fixture does not already cover the claim.
src-caprice-bistro-primary,caprice-bistro,website,tier_1_official,Caprice Bistro,https://www.capricebistro.com/weekly-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-13,,,2026-06-27,,Fresh verification sweep capture on 2026-06-13; review-only candidates created where public fixture does not already cover the claim.
src-kornerstone-bistro-primary,kornerstone-bistro,website,tier_1_official,Kornerstone Bistro,https://www.kornerstonebistro.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-13,,,2026-06-27,,Fresh verification sweep capture on 2026-06-13; review-only candidates created where public fixture does not already cover the claim.
src-za-pie-pizzeria-primary,za-pie-pizzeria,menu,tier_1_official,Za Pie Pizzeria,https://www.zapie.com/,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,14,2026-06-13,,,2026-06-27,,Fresh verification sweep capture on 2026-06-13; review-only candidates created where public fixture does not already cover the claim.
src-beer-barrio-specials,beer-barrio,website,tier_1_official,Beer Barrio,https://beerbarrionc.com/specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,7,2026-06-13,,,2026-06-16,,Fresh verification sweep capture on 2026-06-13; review-only candidates created where public fixture does not already cover the claim.
src-might-as-well-wilmington-primary,might-as-well-wilmington,website,tier_1_official,Might As Well Bar & Grill,https://wilmington.mightaswellbarandgrill.com/wilmington-might-as-well-bar-and-grill-wilmington-happy-hours-specials,manual_web_review,true,false,Review robots/terms before automated collection.,true,false,high,active,true,false,true,3,2026-06-13,,,2026-06-16,,Fresh verification sweep capture on 2026-06-13; review-only candidates created where public fixture does not already cover the claim.
src-ponysaurus-wilmington-primary,ponysaurus-wilmington,website,tier_1_official,Ponysaurus Brewing Co. Wilmington,https://www.ponysaurusbrewing.com/ilm,manual_web_review,true,false,Review robots/terms before automated collection.,true,true,high,active,true,false,true,14,2026-06-13,,,2026-06-27,,Fresh verification sweep capture on 2026-06-13 supports review-only Thursday $5 flat breads candidate; brewery context requires food-only copy.
