restaurant_name,location_area,primary_source_name,primary_source_url,primary_source_type,secondary_source_name,secondary_source_url,authority_rank,scan_frequency,manual_review_required,source_status,notes
Dram Yard / Gazebo Bar,Downtown / Riverfront area,Official Gazebo Bar page,https://www.dramyard.com/gazebo-bar,official_website,,,1,weekly_manual,yes,verified,Official source found; exact seed deal terms remain unverified.
Rebellion NC,Downtown,Official Daily Features image,https://rebellionnc.com/files/2025/03/DAILY-FEATURES-as-of-03.31.2025-01.jpg,official_website,Official website,https://rebellionnc.com/,1,weekly_manual,yes,verified,Official Daily Features image supports food-only burger communal-grub and wing rows; adjacent drink-special copy is suppressed.
Seabird,Downtown,Official website,https://www.seabirdnc.com/home,official_website,,,1,weekly_manual,yes,verified,Official source found; exact oyster seed deal remains unverified.
Flying Machine Oyster Bar,Wrightsville Beach / Wilmington area,Official Oyster Bar page,https://www.flyingmachine.com/oyster-bar,official_website,,,1,weekly_manual,yes,verified,Official source found; exact oyster/taco seed deals remain unverified and location scope needs review.
Ponysaurus Brewing Co. Wilmington,Wilmington,Official Wilmington page,https://www.ponysaurusbrewing.com/ilm,official_website,,,1,weekly_manual,yes,verified,Official source found with weekly food-special evidence; brewery context still requires alcohol-only suppression.
Benny's Big Time Pizzeria,South Front District,Official website,https://www.bennysbigtime.com/,official_website,,,1,weekly_manual,yes,verified,Official source found; exact combo lead remains unverified.
Beat Street,Cargo District,Official website,https://www.beatstreetilm.com/,official_website,,,1,weekly_manual,yes,likely,Existing prototype fixture includes this official website source; exact deal candidates still need current capture/review.
Bridgewater Wines + Dines,Wilmington area,Official website,https://bridgewaterwines.com/,official_website,,,1,weekly_manual,yes,verified,Official source found; exact entree lead remains unverified and wine-focused context requires food-only copy.
True Blue Butcher & Table,Mayfaire / The Forum,Official website,https://www.wearetrueblue.com/truebluebutcherandtable,official_website,,,1,weekly_manual,yes,likely,Existing prototype fixture includes this official website source; keep distinct from other True Blue concepts.
True Blue Butcher & Barrel,Wilmington area,Official website,https://www.wearetrueblue.com/butcherandbarrel,official_website,,,1,weekly_manual,yes,verified,Official concept-specific source found; do not merge with Butcher & Table evidence.
Shuckin' Shack Oyster Bar - Wilmington,Downtown / Wilmington,Official Wilmington location page,https://www.theshuckinshack.com/location-wilmington,official_website,Official oysters and wings happy hour event,https://www.theshuckinshack.com/events/oysters-and-wings-happy-hour,1,weekly_manual,yes,verified,Phase 1O public rows added for Wilmington-specific oysters and wings; keep location-only page as governance source.
Rx Chicken & Oysters,Castle Street / Downtown,Official website,https://www.rxwilmington.com/,official_website,,,1,weekly_manual,yes,verified,Official source found with oyster happy-hour evidence; prototype public oyster row now exists.
YoSake Downtown Sushi Lounge,Downtown,Official website,https://yosake.com/,official_website,,,1,weekly_manual,yes,likely,Existing prototype fixture includes this official website source; mixed happy-hour copy needs food-only handling.
South Front Tavern,South Front District,Official website,https://www.southfronttavern.com/,official_website,,,1,weekly_manual,yes,verified,Official source found with weekly food-special evidence; prototype public food-special rows now exist.
Beer Barrio,Downtown,Official specials page,https://beerbarrionc.com/specials,official_website,,,1,weekly_manual,yes,verified,Phase 1O public row added for Tuesday pork tacos; alcohol-adjacent specials remain suppressed from MVP copy.
Caprice Bistro,Downtown,Official weekly specials page,https://www.capricebistro.com/weekly-specials,official_website,,,1,weekly_manual,yes,verified,Official source found with weekly food-special evidence; prototype public food-special rows now exist.
Ceviche's,Wrightsville Beach / Wilmington area,Official menu page,https://www.wbceviche.com/menu,official_website,,,1,weekly_manual,yes,verified,Official source found; most weekday specials are drink-focused and need food-only review.
Katy's Grill & Bar,South College Road,Official weekly specials page,https://katysbarandgrill.com/weekly-specials/,official_website,,,1,weekly_manual,yes,verified,Phase 1P public breakfast rows added from official weekly-specials page; lunch/dinner and half-price rows remain held for time/price clarity.
Islands Fresh Mex Grill,Wilmington,Official website,https://www.islandsfreshmexgrill.com/,official_website,,,1,weekly_manual,yes,verified,Official source found with taco-special signals; Monkey Junction-specific prototype rows now exist.
Hell's Kitchen,Downtown,Official website,https://hellskitchenbar.com/,official_website,,,1,weekly_manual,yes,verified,Official source found with daily food-special evidence; prototype public lunch-special rows now exist.
Tacobaby,Downtown,Official website,https://tacobabyusa.com/,official_website,,,1,weekly_manual,yes,likely,Existing prototype fixture includes this official website source; exact recurring claims need capture.
Slice of Life Pizzeria & Pub,Downtown / Wilmington area,Official website,https://www.grabslice.com/,official_website,,,1,weekly_manual,yes,verified,Official source found; exact food-special evidence still needs capture and location-specific copy.
Coquina Fishbar,Wrightsville Beach / Wilmington area,Official website,https://coquinafishbar.com/,official_website,,,1,weekly_manual,yes,verified,Official source found with food-special signals; address is Wilmington/Mayfaire.
Four Corners Wrightsville Beach,Wrightsville Beach area,Official specials page,https://fourcornerswb.com/-specials,official_website,,,1,weekly_manual,yes,verified,Official specials source found with Wilmington address; review date freshness and boundary wording before publication.
Whiskey Trail,Wilmington area,Official specials page,https://whiskeytrailsportspub.com/wilmington-whiskey-trail-happy-hours-specials/,official_website,,,1,weekly_manual,yes,verified,Official specials source found for Wilmington locations; food-only copy needed for alcohol-adjacent specials.
PinPoint Restaurant,Downtown,Official website,https://pinpointrestaurant.com/,official_website,,,1,weekly_manual,yes,needs_review,"Public-hold source gap: stale official oyster/menu signals exist, but operating status must be reconfirmed before public restaurant or deal visibility."
